qualification_id,call_id,lead_id,product_type,coverage_type,date_of_birth,zip_code,current_coverage_status,household_size,annual_income,aca_eligible,aca_subsidy_eligible,transfer_completed,transfer_agent_id,created_at
dcf1c2bc-1cff-4024-8f9d-2e1c619cbd36,5525f10e-6d92-4997-8310-5d3b27d8098b,33257805-9def-478f-a986-cca7bf190650,health,HMO,1958-08-26,51144,HMO,1,29688,True,True,False,,2026-03-24T13:38:01.520325
95a5f25c-142a-4c7a-b773-a67a886e14eb,5689ef58-a1ca-49a4-b1eb-88a6e6935992,78bd663b-cba9-430e-a157-58336ece19de,auto,Collision,1960-04-28,46769,Collision,3,84551,True,False,False,,2026-03-24T15:31:08.520325
975f62a1-1ec4-4396-b9cf-54210007996c,b84ebe44-c4c5-45d9-bdaa-32d3ab366acf,afbe8cad-e549-4f9d-a61b-37d3eac17002,life,Term,1997-07-01,38523,Term,5,48797,True,True,False,,2026-02-25T05:49:08.520325
0582158f-696f-420c-865b-971842f50aab,18f5db21-7053-4420-832c-3a83511e2d46,0173289b-37fa-4e29-bb92-d2da931fed2c,auto,Full Coverage,1984-02-01,59834,Full Coverage,4,96514,True,False,True,41b34a14-baeb-4d30-a615-65b794654f61,2026-05-02T12:43:36.520325
acd011a6-701c-4b73-b4b7-8f33a8fe92c8,268aa756-d71c-4bc3-b99a-9050a91d164c,ed654331-7076-4357-a003-090937413f29,life,Universal,1960-07-11,47178,Universal,4,71297,True,True,False,,2026-02-19T16:36:47.520325
ef38c645-e4a5-4846-a830-b6cca61a477c,c1571594-bf33-4e23-9fdf-340cacebcf60,99ec0bcb-120b-422e-a968-ac93a799699b,life,None,1979-03-04,67028,None,6,30571,True,True,False,,2026-03-14T00:09:37.520325
6a5c8061-2e50-458d-a0a6-3a7492974733,e11e9959-6364-4a80-94d5-c1c51435e7cc,a617fb79-6b6d-445b-b94b-8bf5272caf82,health,Medicare Supplement,1984-07-25,28551,Medicare Supplement,5,28843,True,True,False,,2026-04-09T22:17:47.520325
605ddb67-acc2-4669-9fae-7b367e6332d2,33bdd020-c8f5-47d7-b45c-d8610adcb2ab,e959179f-0ab4-4608-9f75-05f7d601aca7,home,Renters,1959-03-03,84678,Renters,6,53555,True,True,False,,2026-04-13T21:07:56.520325
5624dcdf-75ed-43f0-99ec-7916c77e90c1,6244e293-f268-4975-aa1e-21d453d4984e,d11c839c-e66e-4739-981c-dc9ac1d5fb5f,home,HO-5,1977-09-11,28430,HO-5,1,58125,True,False,False,,2026-05-07T01:09:03.520325
4f4428dc-eb10-4952-a25f-0e6864278979,3bd36ba0-b11e-4139-ba60-6f98c3bef1bb,bd8184fa-b52f-47c9-bb13-b94839366799,life,Universal,1970-10-14,61088,Universal,2,43135,True,True,False,,2026-03-22T06:46:17.520325
3e2c431d-4414-47a8-b713-f2489dc91c2a,6638e1a4-9a8c-4ca0-9c0f-361ac3e6627a,c99cfdb2-4ef2-4828-bf5c-6d4480b81910,home,Condo,1971-06-06,19173,Condo,4,57117,True,True,False,,2026-06-25T04:50:33.520325
a57efcbd-26c3-4afc-901a-7da1b948952c,adb3dd73-e917-4e03-8a25-e5584fa8050a,e959179f-0ab4-4608-9f75-05f7d601aca7,home,Renters,1959-03-03,84678,Renters,6,53555,True,True,False,,2026-02-06T18:16:43.520325
8ba49cb7-ecb9-4f0b-8bfd-6bbe05c30992,ee9ed8cb-be58-4a75-9570-7a6731d76f95,307edb1e-6495-4a08-a577-d3e9d4a962eb,home,HO-3,1978-05-07,47125,HO-3,5,22043,True,True,True,22b8d62c-0d8c-4b57-85c2-2e3ffa0d6f6c,2026-01-23T06:33:28.520325
f872a964-09cb-4103-aba3-3a9b082bfb2c,b6bb8475-5437-43d5-b059-2c6c58372332,8f07ad6a-d57c-47e6-b4bb-41ac19e9e3da,health,Medicare Supplement,1964-11-21,20969,Medicare Supplement,3,29777,True,True,False,,2026-04-03T17:45:19.520325
42f93840-bc77-424c-99ea-e442ea980cae,dd0ee6bc-c316-4ff7-a227-f97e21755216,b9dbc2b1-7ba2-455a-90db-ea510f02cb04,life,Universal,1955-05-18,32245,Universal,1,69903,False,False,True,01eb6f7a-a7d7-40ca-bb39-d438ff4f6b06,2026-05-04T07:39:21.520325
8f6f67a6-6eb3-4dbd-b93c-2864d7b9be22,8ccc6613-5016-4499-abef-a45693782e9d,f867dd41-f486-4545-9bf9-29aa2492d1c3,home,Condo,1968-07-23,12733,Condo,6,58774,True,True,False,,2026-04-18T00:49:27.520325
b79e06ba-ab8e-4893-b9b2-8213025b38e4,9c0d1388-cb4d-4945-a2bf-6d9ddf752a17,f867dd41-f486-4545-9bf9-29aa2492d1c3,home,Condo,1968-07-23,12733,Condo,6,58774,True,True,False,,2026-02-27T03:39:18.520325
49bb138f-78e6-43c0-8259-f48cae832509,3435714d-4f7e-4906-bcba-78796cf6a754,18b9681e-9c6b-47d5-9fc6-af5d1e5b07e9,life,Universal,1962-09-14,76500,Universal,6,77656,True,True,False,,2026-04-29T16:18:41.520325
146e4fb6-d284-4a37-a3de-0509bd8e1e13,283b279e-6ea3-4931-96d4-8a2c19b28aa1,8a09cf6e-1f57-4ffc-bedf-538fa8974a7d,home,HO-5,1960-04-16,22559,HO-5,6,45187,True,True,False,,2026-02-13T06:22:15.520325
f481a5db-451b-4804-b00b-431f20e3c8f1,9e93c5bc-2cd3-48a4-8e1c-e45362dead25,c91fc819-910d-4cba-8e8f-72dfe314a5b3,health,Medicare Supplement,1960-04-15,58409,Medicare Supplement,4,17569,True,True,True,dc3f2b18-ae07-4107-abe5-c873c437a8e0,2026-04-26T02:33:49.520325
10e1081e-5e8e-4658-8c22-57af28fbfab4,66a2d741-8d22-45fa-bf5f-7677d3821f53,5bdc2c2b-620d-4859-a850-9184eb91cdf0,home,HO-3,1970-03-13,61871,HO-3,5,146186,False,False,True,a466cfe7-9c5a-4806-b6db-b905292e96d7,2026-05-11T16:48:55.520325
5a2f2889-7bc6-4835-8d2d-3bd5ff0ebc3e,8fc4daa2-5312-4c02-8060-a89cd7d31f1b,9c73677e-a65a-404d-b5f0-0680e2c55b00,auto,Comprehensive,1977-10-24,73691,Comprehensive,1,64485,False,False,False,,2026-04-03T21:15:14.520325
f3f3681f-70c4-4387-be9a-e775d4b3a3c6,ab74444f-5060-4688-9749-86118c4a802b,39cbde1a-a6cc-4526-afe2-d2798e5b3ac0,life,Whole,1976-11-26,12722,Whole,2,19862,True,True,False,,2026-04-26T12:07:52.520325
93ed54cd-e6fb-4762-879a-e3d35fedd856,1e7cef5b-cbee-4c6a-a759-1f90507a07ca,3e5e1766-d0a8-4b3a-aed6-b294bc091b36,auto,Collision,1994-10-10,93288,Collision,3,156444,False,False,False,,2026-02-19T04:45:18.520325
9f0ff107-1a83-4710-afe3-ef87f7cae2c1,948069ec-6620-429d-8248-c62655030e5c,e99105df-8ee9-4638-8d63-11dc9ab0686a,home,HO-5,1965-01-28,35575,HO-5,3,193518,False,False,True,2e099964-b945-4362-a1ec-6ff09ced9327,2026-03-24T21:26:37.520325
6d3e841d-2810-4a1c-9a69-0b33d5d0c548,7a24602e-14e6-4975-b911-74daa0845be4,5f7c8ded-1385-4278-9814-15e860db8c8f,health,EPO,1964-03-03,18423,EPO,3,17042,True,True,False,,2026-01-27T11:59:59.520325
1d7fac07-df44-4ebc-8010-6a7674b2bfb5,dce65e65-bad6-4dfe-9e0c-a38ef4818534,a8635f6e-ba65-46ba-a598-049b575d2e92,home,Renters,1995-03-16,71628,Renters,6,23641,True,True,True,a90d71eb-7396-405c-a5f2-4ff61bed6ebd,2026-03-16T17:34:31.520325
ff462678-cb50-42b5-999e-0bfe033575b8,ee778b4a-bb95-48cc-a466-888f56c4bb15,f2295d94-4209-45b7-b39e-e17fd57b3929,health,HDHP,1975-05-25,11044,HDHP,3,48123,True,True,False,,2026-03-12T14:55:33.520325
b010ae6c-74f8-4155-ac9d-f2aced8d0f87,8bb8f15c-544a-4e5f-938f-fa3901ac3ba8,4c12d88e-0f56-493b-bb9e-827ae0671e23,life,Variable,1987-12-22,85375,Variable,5,127024,True,False,False,,2026-06-11T13:41:33.520325
43af3353-28a0-4a84-bc3f-cc4354919a82,681d895d-a843-4731-bab7-e2a79ba5a477,e959179f-0ab4-4608-9f75-05f7d601aca7,home,Renters,1959-03-03,84678,Renters,6,53555,True,True,True,504540af-1b71-46ce-9177-acb43476987a,2026-07-02T04:04:49.520325
13386735-0f72-4d2e-bebc-1ada55f24397,b2170605-2960-4a73-be47-69e8f1d6f05b,a8635f6e-ba65-46ba-a598-049b575d2e92,home,Renters,1995-03-16,71628,Renters,6,23641,True,True,False,,2026-01-19T20:07:24.520325
240e345a-7c9a-43ea-bf9d-6c791cf77c6f,ca9c1aab-cfff-4eb0-8136-ffd2b411bc3f,9be4de83-ac8d-4ca4-8824-5bcc1d7439be,auto,Collision,1971-10-09,99444,Collision,2,21165,True,True,False,,2026-01-25T21:26:02.520325
