feature_row_id,lead_id,vertical,state,lead_score,dnc_flagged,n_call_attempts,avg_sentiment_score,has_consent,converted,hc_specialty,hc_payer_id,ar_original_balance,ar_current_balance,ar_account_age_days,ar_sol_expired,ar_debt_type,ins_product_type,ins_household_size,ins_annual_income,ins_aca_eligible,ins_tobacco_user,re_interest_type,re_budget_min,re_budget_max,re_timeline_months,re_pre_approval
86dd2f4c-6585-4fe0-9511-930872ef674a,596ac727-1cf5-4a15-b38e-e6db014e1456,Healthcare,TN,47.0,0,0,0.0,1,0,Neurology,CENTENE007,,,,,,,,,,,,,,,
73e929b2-a4a0-4ee7-8eef-4ff9afe5062a,f5f767ae-3adc-4eee-a88d-ee27dea32028,AR,VT,12.0,0,0,0.0,0,0,,,37599.34,42551.77,2611.0,1.0,Personal Loan,,,,,,,,,,
6c475dbe-d674-46e4-8eb3-0518df2f192e,e50f23a8-948a-43c7-bbb8-12ea5307f4b7,Healthcare,OH,97.0,0,0,0.0,1,0,Dermatology,AETNA002,,,,,,,,,,,,,,,
ee9a8aa3-56e5-43c8-8490-cdad9db939af,dcc861cb-02ac-4639-bf13-b4c23ac5f262,Healthcare,PA,2.0,0,0,0.0,1,0,Mental Health,BCBS001,,,,,,,,,,,,,,,
a914afb5-aa9b-4adf-b4b8-b1390ad70363,f511c143-4837-42b3-a583-4ebb931eefb4,Healthcare,AR,58.0,0,7,0.0569,1,1,Cardiology,KAISER008,,,,,,,,,,,,,,,
26776650-a6a6-4003-84d4-2fe008efa37d,8834adc8-18a9-4a44-9011-29ff25869d29,Insurance,AR,67.0,0,3,-0.1988,1,0,,,,,,,,home,1.0,34860.0,1.0,0.0,,,,,
0470e12b-fc1c-409f-80ef-638f2245cc08,5fc33d9e-2b3a-4a07-9bda-c3ee7b4a9e43,RealEstate,NC,40.0,0,5,-0.1775,0,0,,,,,,,,,,,,,buyer,1500000.0,5000000.0,24.0,In Progress
772c78f0-820a-4bd5-84a9-4a339ccaf791,81d63d8e-9ba1-4977-81fe-844eb0d7cb0c,Healthcare,MS,96.0,0,6,0.4733,1,1,Cardiology,AETNA002,,,,,,,,,,,,,,,
3755d425-ae61-45b7-b8f3-2a96a7248257,5a066e61-1690-4d92-85a3-e91c7b296f35,AR,AR,71.0,0,9,0.0052,0,0,,,7385.49,8154.93,2065.0,1.0,Student Loan,,,,,,,,,,
ce3036a7-dbc1-494c-bbfe-d8ea698f480e,f18d93f8-b11e-4397-bc09-c5478496aee7,AR,UT,18.0,0,4,0.1656,0,0,,,1788.42,1929.21,1209.0,0.0,Auto Loan,,,,,,,,,,
b850dca5-e5e2-46a9-8579-da835d66cb5f,063be240-45fe-4009-851b-9648ed595bd9,AR,AK,6.0,0,4,-0.2034,0,0,,,20687.24,19518.23,734.0,0.0,Payday Loan,,,,,,,,,,
fe5d7e59-28b3-42e2-9b05-f8c8b1b21d1b,307edb1e-6495-4a08-a577-d3e9d4a962eb,Insurance,LA,76.0,0,10,-0.0593,1,1,,,,,,,,home,5.0,22043.0,1.0,0.0,,,,,
043e2c47-d151-4edb-9aea-c88718f83965,0173289b-37fa-4e29-bb92-d2da931fed2c,Insurance,IN,,0,7,0.1253,1,1,,,,,,,,auto,4.0,96514.0,1.0,0.0,,,,,
2c7478ba-33a5-4129-8259-bd652d1ccc13,f867dd41-f486-4545-9bf9-29aa2492d1c3,Insurance,NV,,0,4,0.2035,1,1,,,,,,,,home,6.0,58774.0,1.0,0.0,,,,,
